File,Duration,Character,Action,Speak
00000 (0x0174).dsp.wav,0.76745,Daisy?,laugh,X
00001 (0x0175).dsp.wav,0.9866,Daisy,sigh,X
00002 (0x0176).dsp.wav,0.69635,Daisy,hello,X
00003 (0x017A).dsp.wav,0.8968,Daisy,angry,X
00004 (0x01AA).dsp.wav,1.5729,Toad,laugh,
00005 (0x01AB).dsp.wav,0.64555,Toad,sigh,
00006 (0x01AC).dsp.wav,0.7878,Toad,hello,
00007 (0x01B0).dsp.wav,1.10345,Toad,angry,
00008 (0x01C4).dsp.wav,0.9982,Toadette,laugh,
00009 (0x01C5).dsp.wav,1.0969,Toadette,sigh,
00010 (0x01C6).dsp.wav,0.6296,Toadette,hello,
00011 (0x01CA).dsp.wav,0.71895,Toadette,angry,
00012 (0x01E1).dsp.wav,1.10125,Luigi,laugh,
00013 (0x01E2).dsp.wav,1.18685,Luigi,sigh,
00014 (0x01E3).dsp.wav,0.4816,Luigi,hello,
00015 (0x01E7).dsp.wav,1.11995,Luigi,angry,
00016 (0x01F9).dsp.wav,1.1448,Mario,laugh,
00017 (0x01FA).dsp.wav,0.9445,Mario,sigh,
00018 (0x01FB).dsp.wav,0.93435,Mario,hello,
00019 (0x01FF).dsp.wav,0.6978,Mario,angry,
00020 (0x0213).dsp.wav,0.6909,Koopa,laugh,
00021 (0x0214).dsp.wav,0.35395,Koopa,sigh,
00022 (0x0215).dsp.wav,0.5281,Koopa,hello,
00023 (0x0219).dsp.wav,1.4624,Koopa,angry,
00024 (0x0238).dsp.wav,1.0824,Peach,laugh,
00025 (0x0239).dsp.wav,1.18105,Peach,sigh,
00026 (0x023A).dsp.wav,0.692,Peach,hello,
00027 (0x023E).dsp.wav,1.60485,Peach,angry,
00028 (0x0241).dsp.wav,0.237,???,beep???,
00029 (0x0253).dsp.wav,0.4818,Boo,laugh,
00030 (0x0254).dsp.wav,0.50345,Boo,sigh,
00031 (0x0255).dsp.wav,1.433,Boo,hello,
00032 (0x0259).dsp.wav,0.6551,Boo,angry,
00033 (0x026F).dsp.wav,1.7819,Wario,laugh,
00034 (0x0270).dsp.wav,0.95465,Wario,sigh,
00035 (0x0271).dsp.wav,1.03595,Wario,hello,
00036 (0x0275).dsp.wav,1.15785,Wario,angry,
00037 (0x0288).dsp.wav,1.0824,Waluigi,laugh,
00038 (0x0289).dsp.wav,1.5555,Waluigi,sigh,
00039 (0x028A).dsp.wav,0.71085,Waluigi,hello,
00040 (0x028E).dsp.wav,1.36685,Waluigi,angry,
00041 (0x02A0).dsp.wav,0.93,Yoshi,laugh,
00042 (0x02A1).dsp.wav,0.5454,Yoshi,sigh,
00043 (0x02A2).dsp.wav,1.22495,Yoshi,hello,
00044 (0x02A6).dsp.wav,0.2588,Yoshi,angry,
00045 (0x02A7).dsp.wav,1.2257,Yoshi,hello again?
